gem,modulos,deps,instalou,instalou_a_propria,usou_gemfile,ambiente,erro_instalacao,load_paths,entrada,porta_abriu,erro_porta,recuperados_pela_ordem,barrados_no_rspec,carregam,falham
aasm,30,concurrent-ruby,True,,,deps do gemspec,,lib,aasm,True,,0,0,27,3
active_model_serializers,30,actionpack activemodel case_transform jsonapi-renderer,True,,,deps do gemspec,,lib,active_model_serializers,True,,0,0,27,3
activerecord,291,activemodel activesupport timeout,True,,,deps do gemspec,,activerecord/lib,active_record,True,,25,0,282,9
activerecord-import,11,activerecord,True,,,deps do gemspec,,lib benchmarks/lib,activerecord-import,True,,7,0,11,0
activesupport,155,base64 bigdecimal concurrent-ruby connection_pool drb i18n json logger minitest securerandom tzinfo uri,True,,,deps do gemspec,,activesupport/lib,active_support,True,,7,0,143,12
addressable,4,public_suffix,True,,,deps do gemspec,,lib,addressable,True,,0,0,3,1
autoprefixer-rails,3,execjs,True,,,deps do gemspec,,lib,autoprefixer-rails,True,,0,0,3,0
awesome_print,17,,True,,,deps do gemspec,,lib,awesome_print,True,,0,0,17,0
better_errors,13,erubi rack rouge,True,,,deps do gemspec,,lib,better_errors,True,,0,0,11,2
bootsnap,14,msgpack,True,True,,deps + a propria gem,,lib,bootsnap,True,,0,0,14,0
brakeman,127,racc,True,,,deps do gemspec,,lib,brakeman,True,,1,0,22,105
bullet,20,activesupport uniform_notifier,True,,,deps do gemspec,,lib,bullet,True,,0,0,19,1
bundler-audit,11,bundler thor,True,,,deps do gemspec,,lib,bundler/audit,True,,2,0,11,0
byebug,89,reline,True,,,deps do gemspec,,lib,byebug,True,,22,0,87,2
capybara,72,addressable matrix mini_mime nokogiri rack rack-test regexp_parser xpath,True,,,deps do gemspec,,lib,capybara,True,,1,0,72,0
carrierwave,24,activemodel activesupport addressable image_processing marcel ssrf_filter,True,,,deps do gemspec,,lib,carrierwave,True,,0,0,24,0
childprocess,5,logger,True,,,deps do gemspec,,lib,childprocess,True,,0,0,5,0
chronic,30,,True,,,deps do gemspec,,lib,chronic,True,,0,0,30,0
