gem,ficheiro,commit,categoria,loc_medio,loc_max,pct_singleton,pct_duck,mixins_por_classe,profundidade_heranca,metaprog_por_100,metodos,classes,formas,razao_formas,copia_de,semelhanca
twilio-ruby,lib/twilio-ruby/rest/chat/v2/service/channel.rb,c58e213a6f04,third-party apis,9.0,40,0,78,0.0,2,0.0,65,13,36,0.554,twilio-ruby/lib/twilio-ruby/rest/ip_messaging/v2/service/channel.rb,1.0
twilio-ruby,lib/twilio-ruby/rest/api/v2010/account/call/siprec.rb,c58e213a6f04,third-party apis,28.5,432,0,66,0.0,2,0.0,38,14,19,0.5,twilio-ruby/lib/twilio-ruby/rest/api/v2010/account/call/stream.rb,1.0
twilio-ruby,lib/twilio-ruby/rest/api/v2010/account/usage/record/all_time.rb,c58e213a6f04,third-party apis,6.1,23,0,72,0.0,2,0.0,36,12,15,0.417,twilio-ruby/lib/twilio-ruby/rest/api/v2010/account/usage/record/daily.rb,1.0
twilio-ruby,lib/twilio-ruby/rest/api/v2010/account/usage/record/monthly.rb,c58e213a6f04,third-party apis,6.1,23,0,72,0.0,2,0.0,36,12,15,0.417,twilio-ruby/lib/twilio-ruby/rest/api/v2010/account/usage/record/daily.rb,1.0
twilio-ruby,lib/twilio-ruby/rest/api/v2010/account/usage/record/yearly.rb,c58e213a6f04,third-party apis,6.1,23,0,72,0.0,2,0.0,36,12,15,0.417,twilio-ruby/lib/twilio-ruby/rest/api/v2010/account/usage/record/daily.rb,1.0
twilio-ruby,lib/twilio-ruby/rest/api/v2010/account/usage/record/yesterday.rb,c58e213a6f04,third-party apis,6.1,23,0,72,0.0,2,0.0,36,12,15,0.417,twilio-ruby/lib/twilio-ruby/rest/api/v2010/account/usage/record/daily.rb,1.0
twilio-ruby,lib/twilio-ruby/rest/api/v2010/account/usage/record/this_month.rb,c58e213a6f04,third-party apis,6.1,23,0,72,0.0,2,0.0,36,12,15,0.417,twilio-ruby/lib/twilio-ruby/rest/api/v2010/account/usage/record/daily.rb,1.0
twilio-ruby,lib/twilio-ruby/rest/api/v2010/account/usage/record/today.rb,c58e213a6f04,third-party apis,6.1,23,0,72,0.0,2,0.0,36,12,15,0.417,twilio-ruby/lib/twilio-ruby/rest/api/v2010/account/usage/record/daily.rb,1.0
twilio-ruby,lib/twilio-ruby/rest/api/v2010/account/usage/record/last_month.rb,c58e213a6f04,third-party apis,6.1,23,0,72,0.0,2,0.0,36,12,15,0.417,twilio-ruby/lib/twilio-ruby/rest/api/v2010/account/usage/record/daily.rb,1.0
twilio-ruby,lib/twilio-ruby/rest/api/v2010/account/available_phone_number_country/national.rb,c58e213a6f04,third-party apis,7.9,32,0,71,0.0,2,0.0,34,11,15,0.441,twilio-ruby/lib/twilio-ruby/rest/api/v2010/account/available_phone_number_country/voip.rb,1.0
twilio-ruby,lib/twilio-ruby/rest/api/v2010/account/available_phone_number_country/local.rb,c58e213a6f04,third-party apis,7.9,32,0,71,0.0,2,0.0,34,11,15,0.441,twilio-ruby/lib/twilio-ruby/rest/api/v2010/account/available_phone_number_country/voip.rb,1.0
twilio-ruby,lib/twilio-ruby/rest/api/v2010/account/available_phone_number_country/mobile.rb,c58e213a6f04,third-party apis,7.9,32,0,71,0.0,2,0.0,34,11,15,0.441,twilio-ruby/lib/twilio-ruby/rest/api/v2010/account/available_phone_number_country/voip.rb,1.0
